Filename-->;PETALO.RFL8;PETALO2.RFL8;PETALO3.RFL8;PETALO4.RFL8;PETALO5.RFL8
Mode/Unit-->;;;;;
Int.time[ms]-->;10;10;10;10;10
NrOfAverages-->;20;20;20;20;20
Smoothing-->;4;4;4;4;4
Wavelength [nm];;;;;
172,206;50,99348507;11,19064712;5,750417416;34,43092509;5,798139248
172,805;50,90787532;14,63367148;10,38581499;35,38581403;9,840218135
173,404;48,90787281;12,98463787;4,882955645;35,99122038;4,389173336
174,003;52,51454695;18,86565398;12,78772374;37,34015456;9,959380188
174,602;53,02223212;19,05018826;16,40582838;36,3869403;15,40744738
175,201;54,71316819;19,38931376;19,02035753;36,83206168;19,89821987
175,800;53,62415402;17,83923191;13,25404805;35,17695968;17,49534343
176,398;46,62245225;16,70807464;17,20496901;32,71739154;18,58695635
176,997;48,60557884;14,51277483;20,95959524;38,20558499;20,79619692
177,596;49,76906783;16,5993109;28,8429856;36,89567163;21,86798276
178,195;49,07043475;11,90765536;30,02733849;32,82199305;20,48906416
178,793;54,38020096;11,90749691;38,75323002;31,8299324;27,63573497
179,392;50,7837359;6,363351969;32,6610368;27,18886766;23,68667779
179,991;50,84916038;12,73636418;33,97405579;28,47319686;22,87857338
180,589;50,09193189;6,38128555;25,87523894;22,26288974;21,84914048
181,188;53,63625833;9,502924552;29,06432889;22,74853892;26,41812976
181,786;55,09956479;6,227476036;23,10797278;17,78866979;19,07164499
182,385;49,51746347;7,723634182;25,15096139;19,22482801;18,98609672
182,983;50,46641788;4,102110297;18,06108915;16,26088257;18,41522782
183,581;45,56161641;9,952676821;18,69269466;19,75746801;23,80952441
184,180;39,14184579;8,281733668;10,7894731;19,47368358;20,55727472
184,778;42,13502108;4,469776632;14,5642728;18,89905615;23,50382574
185,377;41,06075491;-3,419057394;10,79232943;16,27768591;25,37535055
185,975;42,85427786;6,055718429;19,03225882;23,78299205;30,13196639
186,573;39,69287198;3,477992998;18,94428996;25,59248947;31,42505178
187,171;42,27119774;6,421879512;23,31520206;30,49259723;39,72499291
187,770;45,08481752;1,492294973;17,82643976;28,14274152;36,75587977
188,368;46,3031825;8,442274814;22,52323242;27,8311541;38,02173473
188,966;56,01960438;8,191235497;23,15537964;26,42231182;37,88047916
189,564;59,04468215;9,938447888;32,2624242;27,8336585;36,6161238
190,162;58,07955349;15,61250184;33,38764658;31,4027556;40,05332589
190,760;62,68023762;12,61514445;32,98985067;36,34660374;35,12880499
191,358;61,06987094;12,11884263;34,54261008;34,60515978;34,99609004
191,956;58,30682241;12,87846469;34,76901174;29,73702868;31,64179163
192,554;53,57723607;15,86466191;36,63157912;26,84210503;31,06766988
193,152;51,32875335;18,42904458;33,73826682;26,35284404;36,2368854
193,750;51,65835163;22,62051865;31,03969161;28,81472229;35,80552042
194,348;45,73132326;17,20889157;24,52524625;26,80700698;30,47254462
194,946;47,26798723;23,13825813;17,40634899;31,51797871;35,0985415
195,543;43,07454779;19,36452647;14,22699914;24,47043884;30,33512379
196,141;39,06696242;22,38081169;15,27369002;21,43908132;29,0612127
196,739;44,4632009;19,33520662;13,85767814;18,69538088;25,48377073
197,337;49,31306857;19,00497479;10,18242111;19,17081235;23,41625157
197,934;53,41681693;18,41649583;10,8295292;21,87942697;19,50259719
198,532;51,86065717;19,20397971;14,39469298;26,56716394;18,12603664
199,130;52,17606209;12,22783498;10,13760691;22,74864994;14,78836464
199,727;53,06098344;8,845407632;7,761966427;21,6688227;12,04721866
200,325;50,50433657;4,282075545;8,213944265;15,29767553;4,425342052
200,922;56,47474321;14,04388765;8,542319943;23,79310477;7,037617682
201,520;56,51061777;15,53065637;11,26672867;27,45098034;9,150326557
202,117;51,28971271;10,61891342;6,063462773;28,22808695;6,409048588
202,715;49,37065739;11,7329953;4,106548612;25,63818015;3,630886429
203,312;51,82401986;15,24324304;7,691119522;32,21621502;15,04247081
203,909;54,92391548;20,72777584;11,0701682;31,1991409;11,37724584
204,507;52,60433422;20,36363683;16,9309097;30,80727314;16,16000031
205,104;54,60743465;27,77233937;25,68871475;34,12110145;28,2757655
205,701;56,69993558;30,18171407;24,31856812;36,37137884;34,07154955
206,298;52,15999814;26,7305631;28,99360893;33,62619666;37,84611179
206,896;46,38297968;25,44536426;25,81007178;34,91373264;38,84135219
207,493;43,98178416;27,85915494;26,12676046;26,70422539;37,66197187
208,090;43,86918243;23,81997922;27,2365544;28,88309672;45,0054889
208,687;40,7508666;20,04536472;21,70399811;22,11511231;37,48227932
209,284;41,59151131;16,80733484;15,07567008;20,76542562;41,69092104
209,881;42,81309913;18,37004393;14,00881011;22,65785597;38,12041174
210,478;41,03085694;16,18224623;8,38963031;23,36213604;33,54281146
211,075;37,30552539;11,70015436;11,51468295;16,58423449;28,8717145
211,672;35,23831821;6,281983556;2,57631915;9,899418005;20,53996817
212,269;42,39195554;10,83953205;4,658164812;6,234501977;16,59581923
212,866;42,0166045;6,89655191;0,782083348;13,02879485;21,43618941
213,463;41,34554371;2,879729196;1,788067282;11,50009437;14,77508042
214,060;40,21877301;4,612756364;4,574791191;9,776006408;16,93242211
214,657;37,1380337;3,587531801;4,018819653;0,588119836;17,23191571
215,253;39,51732274;-4,43911227;3,799239872;1,299739832;20,35592842
215,850;38,11433233;-0,234833431;7,886496811;-0,058708358;19,68688764
216,447;42,8904776;2,484969777;9,498997696;9,559117878;24,56913785
217,044;45,10803871;0,038313865;16,62835177;20,13409877;28,409961
217,640;45,07710649;-3,915010739;13,83041574;18,68974993;30,65118961
218,237;48,28640778;3,291243976;20,16145745;20,24425537;30,88387517
218,833;47,16624768;10,39207464;15,47217585;22,32293487;30,92327126
219,430;51,4741381;1,784955496;14,68338288;28,72928231;27,58181027
220,026;52,53114287;1,38968263;13,3447555;37,12164515;22,63468508
220,623;50,55161675;5,299496;16,17839119;31,57305445;25,26590686
221,219;54,96851852;-3,608937061;12,16345207;34,4090124;19,91598197
221,816;48,88949063;-7,689289489;7,218517189;22,3813265;16,9282072
222,412;50,74782123;-0,181521232;6,117262497;20,40297734;15,81049179
223,009;46,71929438;-0,745650365;11,3670255;15,90720754;14,84672709
223,605;48,27796829;-0,727435483;12,21793331;21,49643705;15,24643697
224,201;50,36846406;-0,114531441;17,8954902;29,06227655;19,85683598
224,798;51,81849821;4,449027729;16,49970571;27,23924626;22,42192167
225,394;52,16099129;4,640581964;24,53745861;25,94783168;25,59902963
225,990;52,79338935;10,0508702;21,53537784;26,59164425;24,75720613
226,586;47,46138995;10,80787668;26,01953824;26,48472654;25,91099416
227,182;49,7504181;14,91114037;25,19867088;35,16832835;28,42074863
227,778;48,29665854;9,463962912;23,62204865;34,41853594;23,30405969
228,374;51,8934695;13,91775933;25,68157859;43,18421479;24,83807813
228,971;49,20940216;16,72898729;28,10925106;38,46529105;19,31393316
229,567;47,33103414;19,30003384;22,10329526;37,9204887;18,46754982
230,163;45,45731116;22,45625416;24,93519102;38,85288398;16,63966263
230,758;44,90650945;26,76701628;22,67670217;42,37565525;16,88481732
231,354;45,88824106;20,02262474;24,57983189;48,23852492;17,22689128
231,950;48,59948355;31,93586114;20,11023918;51,59512327;21,51327918
232,546;47,19590411;25,1785109;13,17579117;48,79292753;17,03502312
233,142;50,83745632;28,27114127;8,978327563;52,28939126;22,56802939
233,738;49,97823879;27,86112978;2,686671267;51,86671267;22,52267917
234,334;50,08766468;26,04131455;3,623434179;52,91229365;29,24145001
234,929;49,96044456;24,20112807;11,90476235;45,56704252;26,25313311
235,525;55,22387727;25,67222506;13,18912454;48,41520092;29,93841104
236,121;51,76076434;20,06886414;13,57599673;44,53189196;26,0534521
236,716;53,61253007;20,31478153;13,67840324;44,1018985;27,35680648
237,312;55,02231917;7,568258214;16,06258987;36,27654338;18,96854551
237,907;51,46775639;13,18565424;22,15189922;39,83825623;18,07313645
238,503;48,19218571;10,99073885;24,35785395;34,75449836;14,34562263
239,099;49,07688593;11,1931124;25,95325981;33,14004612;10,49024827
