Filename-->;PET_OSCUSRO_1.RFL8;PET_OSCUSRO_2.RFL8;PET_OSCUSRO_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;4,419502992;-8,241041911;7,880512507
172,805;10,61269056;5,177112371;3,663466635
173,404;9,613825517;11,47785366;0,257897579
174,003;2,17341574;12,91267792;-2,103891257
174,602;4,870129045;4,114664379;-0,982493843
175,201;9,94130571;7,4162686;1,841620796
175,800;9,009559491;1,00861427;-2,583555634
176,398;11,45245476;14,35886966;-9,071038242
176,997;13,42206164;13,29806678;-5,723563661
177,596;14,40052176;2,185469326;-11,67968804
178,195;16,83697211;-11,63371476;-2,507666773
178,793;16,85823777;-26,11123999;-2,147016195
179,392;28,20025551;-28,17171996;0,55432318
179,991;28,05996786;-19,38432798;-0,436757532
180,589;11,75869203;-19,25557386;-5,317630692
181,188;10,1323579;-15,22823879;2,976190265
181,786;14,66015223;-19,94804146;1,767974328
182,385;14,31879462;-31,66739316;2,054574689
182,983;5,999098758;-15,74580487;4,404723715
183,581;-6,146468836;-5,329543396;-3,271812184
184,180;-14,48525731;-1,869975852;0,733944903
184,778;-25,8160987;2,257132594;-2,306744144
185,377;-22,55468971;7,994264221;0,100166853
185,975;-12,75383713;9,08610649;-1,383966281
186,573;2,463524447;-3,021977995;4,698190828
187,171;8,263423534;-9,445099703;10,95052761
187,770;4,515640271;-7,226561956;9,824722891
188,368;14,12678338;-10,18639666;9,332054975
188,966;22,92823956;-17,45981302;13,47680039
189,564;24,11953115;-23,4249318;10,14469239
190,162;25,28055391;-22,58546375;11,0386789
190,760;18,85974008;-23,51485112;13,532951
191,358;20,22713889;-16,77313679;16,16246444
191,956;2,95171793;-6,088650823;9,043805927
192,554;-5,558525912;-2,976864766;10,09291895
193,152;-4,786324663;-1,121876595;2,785946594
193,750;-2,548077926;-0,347682144;6,189319906
194,348;-3,383630694;-0,122228176;3,474135537
