Filename-->;PUNTA_LILA.RFL8;PUNTA_LILA_2.RFL8;PUNTA_LILA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;-6,468474464;-1,901743188;-15,95866789
172,805;-7,65923148;9,439801675;-4,25652669
173,404;-6,853658282;3,556149706;-7,257041761
174,003;-0,95514947;5,528568192;-4,935275065
174,602;-1,202519518;7,056798642;-6,433539232
175,201;-4,232494534;4,984093533;-7,385524457
175,800;8,929561529;16,61281067;3,768714341
176,398;9,575587294;17,53100406;9,549518919
176,997;6,63701056;13,81636226;6,682234754
177,596;7,901907615;16,603267;11,08790304
178,195;10,53969516;17,13246904;2,084075527
178,793;11,48225467;24,5191293;10,91877517
179,392;10,28721575;30,88624382;14,95327135
179,991;7,200306458;29,0178581;12,76059225
180,589;11,39320242;29,43723087;6,739621861
181,188;-0,838398584;23,95833409;1,289860212
181,786;0,863022891;25,05404841;-8,732730686
182,385;-1,942463747;20,24207013;-4,027271321
182,983;1,197479042;20,33898411;0,186133102
183,581;-3,288619517;8,857199888;4,431658823
184,180;-5,017226643;4,261231761;-3,592024902
184,778;-15,9702473;-6,376541841;-5,897009811
185,377;-13,37234506;-4,980750774;-5,677623308
185,975;-11,16408418;-2,238249228;6,422018201
186,573;-1,05202745;2,470708362;8,568662773
187,171;-3,431008849;2,67942575;20,71348254
187,770;-5,086580013;2,269619979;18,79439082
188,368;-13,0120483;-0,207162098;14,60011715
188,966;-7,514032258;10,99309657;17,43629062
189,564;-9,341906499;11,15488737;22,06268951
190,162;-2,025917058;16,712058;18,50102733
190,760;1,527247363;17,36594059;19,94903463
191,358;3,440586189;25,50544377;21,0565206
191,956;-2,531851726;19,40451778;24,77876212
192,554;-0,437672359;19,43778728;14,68155516
193,152;-0,303387898;18,05320927;10,71286321
193,750;2,267974919;16,15152207;5,274948973
194,348;4,602784802;15,55901345;12,51039102
194,946;-0,0626076;19,11729465;4,065040823
