Filename-->;FLOR_1.RFL8;FLOR_2.RFL8
Mode/Unit-->;;
Int.time[ms]-->;1,049999952;1,049999952
NrOfAverages-->;20;20
Smoothing-->;4;4
Wavelength [nm];;
172,206;18,34493849;14,9953725
172,805;14,88336773;18,79937007
173,404;15,93906297;17,01134035
174,003;16,43349858;12,97798311
174,602;20,02465599;17,69960051
175,201;16,29300107;8,162850186
175,800;15,48942164;14,17991166
176,398;6,588413413;14,08506475
176,997;-1,77255497;12,52921028
177,596;6,016355359;15,18539237
178,195;13,74606533;11,14285688
178,793;10,86743063;11,44497634
179,392;16,33757887;17,25794608
179,991;8,447332604;11,05489919
180,589;9,365889189;15,65004271
181,188;15,32374144;8,727466189
181,786;21,54868908;13,22357904
182,385;26,30331729;12,63255572
182,983;24,05446467;7,859589347
183,581;19,49760846;16,00835236
184,180;16,50179051;19,16339104
184,778;5,635128132;16,29586295
185,377;16,40592755;18,44733557
185,975;17,51990968;14,94630776
186,573;9,882527191;32,44498283
187,171;5,456549953;33,72781053
187,770;3,813989926;35,3458382
188,368;1,823416157;38,99054833
188,966;-0,300922351;31,73783739
189,564;-0,362779056;26,30709848
190,162;10,16212643;24,60317562
190,760;1,307189528;26,55086694
191,358;6,176083716;35,63291086
191,956;6,757331789;26,01680548
192,554;14,2605288;25,46381999
193,152;9,74995079;25,02711963
193,750;10,82267516;30,97668699
194,348;16,35888829;31,60963699
194,946;30,15693056;31,64045557
195,543;26,20569419;33,35856917
196,141;29,60321821;31,28655239
196,739;29,08657944;30,92842765
197,337;31,60630725;33,62937335
197,934;28,56889174;34,48224584
198,532;33,28181379;36,24981271
199,130;32,75042587;27,63882272
199,727;27,71474962;27,71739252
200,325;15,86375617;31,9803413
200,922;13,19893404;33,71722342
201,520;14,29132272;33,08902733
202,117;10,94565683;29,63318828
202,715;-2,039615767;27,6395589
203,312;5,708886192;37,74047476
203,909;3,769653076;37,99109019
204,507;4,833366608;41,67669373
205,104;9,595574856;43,54699051
205,701;13,76654286;43,49258791
206,298;14,54218933;50,84579316
206,896;16,34176642;47,2697059
207,493;11,31913156;47,38553859
208,090;24,67098311;46,9750873
208,687;22,42424259;33,1647166
209,284;32,78025823;30,3658541
209,881;27,16297536;33,24894321
210,478;20,39770402;47,63415191
211,075;16,94749213;41,14899814
211,672;18,65412077;36,43669183
212,269;20,737518;40,54692277
212,866;19,84157473;38,38484432
213,463;20,98268226;40,28683192
214,060;18,70066549;46,00560615
214,657;6,639005206;51,53485048
215,253;10,36536844;54,34860897
215,850;4,388045104;48,52859583
216,447;19,3110441;47,41011606
217,044;17,46122969;44,76333018
217,640;8,005325126;52,05360892
218,237;9,726568597;55,00845324
218,833;10,46025223;54,69700147
219,430;8,346279383;41,2409664
220,026;13,82955632;39,95978879
220,623;6,640712662;37,51791184
221,219;18,26702673;35,0920255
221,816;3,781097931;38,40881332
222,412;5,973392066;42,99319548
223,009;18,10237409;35,30990921
223,605;21,96652667;33,68123472
224,201;21,05654509;34,48500727
224,798;22,40449672;46,7558643
225,394;25,20383605;48,43408788
225,990;37,73720701;52,11195116
226,586;40,013871;52,3567388
227,182;44,52440008;52,9850742
227,778;37,52385011;60,23403311
228,374;29,25855941;59,82297666
228,971;40,94218535;58,08144719
229,567;39,23625777;59,90185609
230,163;40,96114573;52,85109835
230,758;30,71665407;55,05319167
231,354;29,30998583;48,93571961
231,950;26,05649084;47,46187553
232,546;24,90951505;57,81529917
233,142;26,50072961;55,15075578
233,738;33,98918867;54,82315003
234,334;19,47043743;57,9578007
234,929;14,05951836;51,17613277
235,525;11,53919576;60,05386325
236,121;15,88956034;46,29460209
236,716;19,90645435;53,60824907
237,312;18,20285367;60,76696812
237,907;14,36265739;48,82201374
238,503;21,29379709;47,99000202
239,099;27,22712604;45,53750285
239,694;23,61047572;43,9827057
240,289;34,29752043;46,04730427
240,885;35,79105434;48,75451566
241,480;39,33405379;52,30092022
242,076;35,45498409;53,5857828
242,671;38,9311296;49,11340413
243,266;35,16781817;50,0125609
243,861;25,32606247;41,39644289
244,457;23,68156503;44,34624959
