Filename-->;PETSLO_ROSA_1.RFL8;PETSLO_ROSA_2.RFL8;PETSLO_ROSA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;26,78050986;28,00859666;6,94018404
172,805;27,90216953;22,48701336;2,860944828
173,404;27,99084223;22,84548537;11,10512096
174,003;22,87374507;26,19432468;11,52625139
174,602;11,46572148;29,80518287;12,3829799
175,201;2,604411718;27,07551103;16,21338979
175,800;-3,388732941;14,05242964;22,52292537
176,398;-19,49152667;10,74516322;24,03542036
176,997;-23,46002648;9,0423273;30,71009403
177,596;-21,00954922;6,002238864;36,67953907
178,195;-21,75012641;0,280182769;34,26844961
178,793;-20,01495448;-3,18570351;36,72627363
179,392;-6,268125223;-8,975978041;27,13700908
179,991;2,684413373;-15,49053368;36,96733822
180,589;-1,320379243;-2,22171345;36,19026197
181,188;18,82404498;12,26644955;36,51409803
181,786;18,72798052;12,8908507;34,2577134
182,385;24,11533623;16,86747018;33,21109165
182,983;23,26117873;15,71243256;21,26571605
183,581;24,455508;15,6896818;29,69042192
184,180;24,33541853;20,02295781;26,49895452
184,778;23,50445344;24,07667184;35,30627616
185,377;18,09749262;25,59523793;20,18518484
185,975;14,43277327;23,18568965;16,60460111
186,573;3,505536297;16,25409523;8,460012864
187,171;6,805074178;18,12899467;4,894035013
187,770;-4,343997601;13,74520325;3,214856222
188,368;12,05550672;20,79690976;2,869440512
188,966;7,317676048;26,99249666;-4,380148863
189,564;-5,680400273;20,27729662;-8,908406898
190,162;-9,994117999;21,38250572;-22,4316242
190,760;-9,280825799;20,72932462;-22,01834868
191,358;0,208147724;22,61339214;-24,80940858
191,956;11,70179281;27,58121113;-16,90369725
192,554;8,259348716;20,79698536;-18,52362212
193,152;24,45582465;14,71861367;-29,51057659
193,750;15,45479013;11,58841092;-19,98013842
194,348;17,55549057;9,511170017;-21,38075215
194,946;16,1676636;15,91427291;-23,83302541
