Filename-->;FLOR_CERRADO_1.RFL8;FLOR_CERRADO_2.RFL8;FLOR_CERRADO_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;16,48639891;6,366139143;13,12169283
172,805;12,3891433;20,53242631;22,65804372
173,404;12,45626382;17,96140579;16,6697878
174,003;5,770536151;14,03361362;17,17526702
174,602;4,212598897;14,78211982;19,2129641
175,201;3,488828103;9,75180799;21,28030239
175,800;3,991039982;20,32341137;21,07947456
176,398;1,956903878;15,56336537;19,8973549
176,997;-0,135104573;20,49180416;20,78752159
177,596;3,17156229;18,19842819;17,89218829
178,195;5,684869989;13,42402043;11,62689819
178,793;7,507175765;15,49321071;15,32556248
179,392;11,21896603;13,90208281;12,32794685
179,991;15,00945113;14,891575;7,912458029
180,589;15,24457459;15,80365651;1,665824439
181,188;20,44410349;8,801571838;9,720436391
181,786;26,84133306;16,28305244;10,99701171
182,385;30,91726638;11,69770269;14,67430199
182,983;21,72407009;9,512579029;16,77467134
183,581;19,78256427;0,508336537;13,76459985
184,180;22,27432819;-0,778664967;7,429718971
184,778;20,16787533;-5,433933004;8,036659569
185,377;8,95822946;-15,05096502;4,250440772
185,975;8,814354355;-12,8915394;4,894989403
186,573;1,221946475;-14,49117436;-3,611950968
187,171;-3,670588691;-12,22294022;1,794365683
187,770;-5,22169721;-11,92068097;5,276161277
188,368;1,454035089;-9,009422123;-0,622368313
188,966;4,410783417;1,664079336;0,141618357
189,564;4,839494107;4,992092797;9,160705601
190,162;14,91628685;23,15719262;10,28799717
190,760;24,60177092;32,99869896;10,12362106
191,358;18,25269792;24,48388877;11,98440992
191,956;23,12524623;29,90249204;15,55254437
192,554;14,36180675;18,55810444;5,942910249
193,152;21,02065582;22,6281353;6,685513732
193,750;18,62249712;31,59331243;15,6810743
194,348;8,801463865;24,97301115;21,0920452
194,946;11,86739334;25,56003281;17,09677348
195,543;5,698005735;14,02678011;11,11697474
