Filename-->;ENVEZ_1.RFL8;ENVEZ_2.RFL8;ENVEZ_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;32,74287264;18,86156989;11,81334912
172,805;31,51199353;17,50700267;5,301698739
173,404;27,79996535;16,35742219;3,059537047
174,003;28,26055934;19,46132001;0,858012302
174,602;27,7898789;24,30250919;0,095968511
175,201;28,61449466;17,39283215;9,518072163
175,800;24,30635578;16,06411363;-10,4616235
176,398;20,19539965;13,49911129;-5,307339286
176,997;17,40945219;13,33453987;-15,25007755
177,596;16,27722799;13,07926272;-2,025677701
178,195;16,68986546;13,60925935;6,140350837
178,793;16,92241551;13,53475363;11,48730322
179,392;21,79506331;12,42070136;14,63878384
179,991;25,9242568;14,86682808;18,98197337
180,589;26,50781752;24,56511894;17,05250102
181,188;31,19566961;27,75497715;13,55454433
181,786;32,59569461;33,20117424;15,38306263
182,385;30,90583253;30,10915774;20,2238804
182,983;36,45788721;27,20760329;18,36734724
183,581;34,06162314;28,43017929;14,8412967
184,180;32,38828261;28,67571958;15,01592091
184,778;24,33883232;30,51321946;17,41968764
185,377;19,62383197;22,77377185;9,914019909
185,975;18,57812709;16,78397351;8,581601067
186,573;20,09144009;18,60857815;16,5606216
187,171;19,07507063;12,48172485;14,83516581
187,770;23,83951841;22,00035091;11,13445373
188,368;13,67794403;21,20071562;18,14878525
188,966;13,0022242;20,87952049;17,1363724
189,564;14,74921656;18,74639528;15,38755922
190,162;17,84489923;18,82946396;8,633230982
190,760;17,60269678;19,28904422;16,2495182
191,358;18,75405503;17,78733342;15,23341541
191,956;17,4522292;10,59138696;7,867847571
192,554;17,64267667;17,87308451;6,175889299
193,152;17,65883649;18,85170967;10,54136134
193,750;21,63907945;26,88652799;7,583504429
194,348;18,86554622;27,41538997;1,017708602
194,946;21,73789502;26,80955064;-7,90727883
195,543;15,26080431;22,03750191;1,825430211
